Reference    Generator             Acc. max         Acc. μ ±σ        Loss min         Loss μ ±σ        EER min          EER μ ±σ         
jsut         Multi-Band MelGAN     51.91%           50.07% ±1.49%    1.463            2.157 ±0.872     0.478            0.508 ±0.018     
jsut         Parallel WaveGAN      59.03%           49.29% ±7.65%    1.215            2.163 ±1.059     0.396            0.529 ±0.089     
ljspeech     Avocodo               86.08%           81.79% ±3.57%    0.372            0.802 ±0.413     0.141            0.192 ±0.045     
ljspeech     BigVGAN               51.60%           50.85% ±0.45%    2.235            3.421 ±1.089     0.528            0.581 ±0.045     
ljspeech     Full-Band MelGAN      94.85%           92.33% ±1.50%    0.126            0.186 ±0.036     0.052            0.077 ±0.015     
ljspeech     HiFi-GAN              50.79%           49.31% ±1.16%    2.225            2.420 ±0.256     0.492            0.516 ±0.020     
ljspeech     Large BigVGAN         58.12%           57.74% ±0.24%    1.761            2.462 ±0.656     0.442            0.472 ±0.025     
ljspeech     MelGAN                75.93%           71.04% ±3.33%    0.877            0.993 ±0.072     0.235            0.273 ±0.027     
ljspeech     Multi-Band MelGAN     83.24%           78.98% ±3.02%    0.461            0.543 ±0.068     0.141            0.182 ±0.029     
ljspeech     Parallel WaveGAN      58.41%           55.46% ±2.11%    1.616            2.877 ±1.205     0.414            0.497 ±0.073     
ljspeech     WaveGlow              80.33%           77.85% ±1.83%    0.626            0.676 ±0.038     0.188            0.215 ±0.019     
