Reference    Generator             Acc. max         Acc. μ ±σ        Loss min         Loss μ ±σ        EER min          EER μ ±σ         
jsut         Multi-Band MelGAN     50.89%           49.90% ±1.20%    0.933            1.213 ±0.257     0.444            0.517 ±0.053     
jsut         Parallel WaveGAN      51.68%           47.72% ±4.81%    0.930            1.253 ±0.287     0.445            0.591 ±0.106     
ljspeech     Avocodo               76.73%           75.55% ±0.81%    0.502            0.545 ±0.038     0.225            0.234 ±0.008     
ljspeech     BigVGAN               77.85%           76.58% ±0.95%    0.477            0.527 ±0.042     0.209            0.224 ±0.012     
ljspeech     Full-Band MelGAN      81.55%           80.91% ±0.51%    0.412            0.454 ±0.038     0.181            0.189 ±0.006     
ljspeech     HiFi-GAN              69.57%           68.70% ±0.50%    0.603            0.652 ±0.038     0.275            0.281 ±0.004     
ljspeech     Large BigVGAN         73.46%           71.68% ±1.37%    0.551            0.610 ±0.049     0.248            0.265 ±0.015     
ljspeech     MelGAN                78.17%           77.57% ±0.39%    0.467            0.510 ±0.036     0.206            0.211 ±0.005     
ljspeech     Multi-Band MelGAN     71.73%           71.01% ±0.70%    0.576            0.619 ±0.033     0.266            0.273 ±0.005     
ljspeech     Parallel WaveGAN      80.48%           79.16% ±0.87%    0.449            0.501 ±0.040     0.192            0.200 ±0.006     
ljspeech     WaveGlow              84.63%           83.23% ±0.99%    0.431            0.444 ±0.011     0.154            0.170 ±0.010     
