Reference    Generator             Acc. max         Acc. μ ±σ        Loss min         Loss μ ±σ        EER min          EER μ ±σ         
jsut         Multi-Band MelGAN     50.27%           47.88% ±1.61%    1.659            2.246 ±0.539     0.502            0.544 ±0.043     
jsut         Parallel WaveGAN      49.85%           43.44% ±5.06%    1.645            2.514 ±0.580     0.464            0.595 ±0.093     
ljspeech     Avocodo               74.33%           70.61% ±2.19%    1.530            2.769 ±0.738     0.271            0.334 ±0.036     
ljspeech     BigVGAN               52.07%           51.14% ±0.55%    4.108            6.296 ±1.279     0.559            0.609 ±0.032     
ljspeech     Full-Band MelGAN      96.93%           95.64% ±0.94%    0.077            0.107 ±0.023     0.030            0.043 ±0.010     
ljspeech     HiFi-GAN              52.42%           51.55% ±0.60%    2.707            3.021 ±0.283     0.441            0.457 ±0.011     
ljspeech     Large BigVGAN         59.64%           59.06% ±0.63%    2.928            3.520 ±0.388     0.448            0.461 ±0.011     
ljspeech     MelGAN                82.65%           80.12% ±3.07%    0.605            0.708 ±0.124     0.147            0.179 ±0.031     
ljspeech     Multi-Band MelGAN     88.49%           86.70% ±1.42%    0.321            0.354 ±0.033     0.102            0.114 ±0.012     
ljspeech     Parallel WaveGAN      53.88%           52.34% ±0.93%    3.609            5.945 ±1.407     0.512            0.586 ±0.051     
ljspeech     WaveGlow              79.66%           78.17% ±0.91%    0.704            0.913 ±0.141     0.190            0.201 ±0.008     
