Reference    Generator             Acc. max         Acc. μ ±σ        Loss min         Loss μ ±σ        EER min          EER μ ±σ         
jsut         Multi-Band MelGAN     59.06%           53.36% ±5.45%    0.730            1.435 ±0.518     0.394            0.476 ±0.073     
jsut         Parallel WaveGAN      66.03%           52.05% ±10.63%   0.642            1.479 ±0.605     0.346            0.533 ±0.149     
ljspeech     Avocodo               80.08%           78.37% ±1.74%    0.420            0.457 ±0.024     0.196            0.209 ±0.014     
ljspeech     BigVGAN               78.61%           78.33% ±0.33%    0.440            0.457 ±0.011     0.203            0.209 ±0.004     
ljspeech     Full-Band MelGAN      81.45%           80.62% ±0.59%    0.384            0.413 ±0.018     0.183            0.190 ±0.005     
ljspeech     HiFi-GAN              66.30%           65.62% ±0.47%    0.652            0.676 ±0.016     0.302            0.315 ±0.009     
ljspeech     Large BigVGAN         73.60%           73.10% ±0.55%    0.526            0.534 ±0.005     0.243            0.253 ±0.007     
ljspeech     MelGAN                74.90%           74.38% ±0.61%    0.492            0.506 ±0.009     0.234            0.239 ±0.004     
ljspeech     Multi-Band MelGAN     72.32%           71.39% ±0.56%    0.548            0.562 ±0.014     0.267            0.273 ±0.009     
ljspeech     Parallel WaveGAN      82.81%           81.41% ±1.00%    0.388            0.428 ±0.024     0.170            0.181 ±0.008     
ljspeech     WaveGlow              84.48%           83.07% ±0.90%    0.375            0.415 ±0.032     0.156            0.170 ±0.008     
